ID,Nombre,Departamento,Municipio
10262,COMPLEJO EDUCATIVO CANTON LA MAGDALENA,SANTA ANA,CHALCHUAPA
10263,CENTRO ESCOLAR PROFESOR SERGIO OVIDIO GARCIA,SANTA ANA,CHALCHUAPA
10265,CENTRO ESCOLAR ALICIA ORTIZ VIUDA DE FLORES,SANTA ANA,CHALCHUAPA
10266,"CENTRO ESCOLAR ALFREDO ESPINO, CANTON LAS FLORES",SANTA ANA,CHALCHUAPA
10267,CENTRO ESCOLAR CANTON EL ARADO,SANTA ANA,CHALCHUAPA
10268,CENTRO ESCOLAR FRANCISCO IGNACIO CORDERO,SANTA ANA,CHALCHUAPA
10269,CENTRO ESCOLAR GUADALUPE RETANA HERRERA,SANTA ANA,CHALCHUAPA
10270,CENTRO ESCOLAR SIMON BOLIVAR,SANTA ANA,CHALCHUAPA
10271,COMPLEJO EDUCATIVO BENITO JUAREZ,SANTA ANA,CHALCHUAPA
10272,CENTRO ESCOLAR GENERAL SALVADOR CASTANEDA CASTRO,SANTA ANA,CHALCHUAPA
10273,CENTRO ESCOLAR DOCTOR RANULFO CASTRO,SANTA ANA,CHALCHUAPA
10274,ESCUELA DE EDUCACION PARVULARIA GABRIELA MISTRAL,SANTA ANA,CHALCHUAPA
10275,CENTRO ESCOLAR CANTON LA LAGUNA,SANTA ANA,EL CONGO
10276,CENTRO ESCOLAR CANTON EL GUINEO,SANTA ANA,EL CONGO
10277,CENTRO ESCOLAR PARA SORDOS DE SANTA ANA,SANTA ANA,SANTA ANA
10278,COMPLEJO EDUCATIVO CANTON LA PRESA,SANTA ANA,EL CONGO
10279,CENTRO ESCOLAR CANTON EL RODEO,SANTA ANA,EL CONGO
10280,CENTRO ESCOLAR HACIENDA EL PORVENIR CANTON LOS PINOS,SANTA ANA,EL CONGO
10281,CENTRO ESCOLAR CANTON EL PEZOTE,SANTA ANA,EL CONGO
10282,CENTRO ESCOLAR CASERIO EL PALOMAR CANTON LA PRESA,SANTA ANA,EL CONGO
10283,INSTITUTO NACIONAL DE EL CONGO,SANTA ANA,EL CONGO
10284,CENTRO ESCOLAR EL CONGO,SANTA ANA,EL CONGO
10285,CENTRO ESCOLAR UNION CENTROAMERICANA,SANTA ANA,EL CONGO
10286,ESCUELA DE EDUCACION PARVULARIA DE EL CONGO,SANTA ANA,EL CONGO
10287,CENTRO ESCOLAR CANTON MONTEBELLO,SANTA ANA,EL CONGO
10288,"CENTRO ESCOLAR ALFREDO ESPINO, CANTON SAN JOSE LAS FLORES",SANTA ANA,EL CONGO
10289,"CENTRO ESCOLAR CASERIO EL CERRON, CANTON SAN CRISTOBAL",SANTA ANA,EL PORVENIR
10291,COMPLEJO EDUCATIVO PADRE VICENTE AGUILAR,SANTA ANA,EL PORVENIR
10292,CENTRO ESCOLAR CANTON SAN JUAN CHIQUITO,SANTA ANA,EL PORVENIR
10293,CENTRO ESCOLAR CANTON LA ARENERA,SANTA ANA,EL PORVENIR
10294,CENTRO ESCOLAR CANTON SANTA ROSA SENCA,SANTA ANA,EL PORVENIR
10295,COMPLEJO EDUCATIVO MASAHUAT,SANTA ANA,MASAHUAT
10296,CENTRO ESCOLAR MATHIEU SAN MARTIN,SAN MIGUEL,CHIRILAGUA
10297,CENTRO ESCOLAR PROFESORA CELINA DEL CARMEN PAZ DE MENDEZ,MORAZAN,SOCIEDAD
